,Zip,Lat,Lng,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two_Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,99927,56.251,-133.37571,38,0,68,28561.99,False,7.978322947,10,0,1,False,True,True,True,False,True,True,False,False,False,True,True,6.795512947,172.455519,904.5361102,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
1,48661,44.32893,-84.2408,10446,1,27,21704.77,True,11.69907956,12,0,1,True,False,True,True,True,True,False,False,False,True,True,True,1.156680997,242.632554,800.9827661,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
2,97148,45.35589,-123.24657,3735,4,50,9609.57,False,10.75280028,9,0,1,True,True,False,True,True,False,False,False,False,False,True,True,15.75414408,159.947583,2054.706961,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
3,92014,32.96687,-117.24798,13863,1,48,18925.23,False,14.91353964,15,2,0,True,False,False,True,False,True,False,False,False,True,False,True,17.08722662,119.95684,2164.579412,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
4,77461,29.38012,-95.80673,11352,0,83,40074.19,True,8.147416533,16,2,1,False,True,False,False,False,False,False,False,True,True,False,False,1.670971726,149.948316,271.4934362,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
5,31030,32.57032,-83.8904,17701,3,83,22660.2,False,8.420992898,15,3,1,False,True,False,True,True,True,True,True,False,False,True,False,7.000993555,185.007692,1039.357983,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
6,37847,36.4342,-84.27892,2535,0,79,11467.5,True,11.18272453,10,0,1,True,False,False,True,False,False,False,False,True,True,True,False,13.23677381,200.118516,1907.242972,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
7,73109,35.43313,-97.52463,23144,2,30,26759.64,True,7.791632265,16,0,0,True,False,False,False,False,False,True,False,False,False,False,True,4.26425515,114.950905,979.6127078,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
9,45237,39.19296,-84.4523,20193,1,86,50231.4,False,8.707823904,18,1,0,False,True,False,True,False,True,False,True,False,False,True,True,3.422086139,162.482694,508.7637913,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
10,18830,41.95142,-76.10744,555,7,23,22580.7,False,9.341631685,9,0,2,False,False,False,True,True,True,True,False,False,True,False,False,19.26726194,174.958118,2728.767869,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
11,783,18.3041,-66.32847,33372,2,56,18342.12,False,6.68082638,17,1,1,False,True,False,True,False,False,False,True,False,True,False,False,10.52199781,149.962093,1180.588788,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
12,52739,41.37287,-91.36865,556,0,83,83671.08,False,8.273875452,9,0,0,False,True,False,True,False,False,False,False,False,True,False,False,13.01149229,137.439154,1196.388018,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
13,4228,44.43256,-70.11501,0,5,29,115114.57,False,5.880565591,14,1,0,False,True,True,True,True,True,False,False,True,True,False,True,16.87922024,184.971516,1948.694497,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
14,60162,41.86752,-87.90222,8165,1,30,64256.81,True,11.79073041,10,3,0,False,False,False,False,True,False,True,False,True,False,False,True,10.06019902,159.965581,1582.295235,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
15,54558,45.92342,-89.50138,2093,3,39,89061.45,True,10.79846973,13,1,0,False,False,False,True,False,True,False,False,False,True,True,True,13.87001293,177.65076,1840.014467,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
16,95351,37.62326,-120.99637,50079,0,63,31659.3,True,13.52284721,13,1,0,False,True,False,True,True,False,True,True,False,False,True,True,15.78214958,194.966286,2070.376729,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
17,28371,34.90636,-78.98944,7249,2,60,44142.81,True,9.831166695,16,3,0,False,False,False,True,False,True,False,True,True,True,True,False,2.303331273,202.682861,882.0985933,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
18,38060,35.2091,-89.50332,9463,3,61,39262.14,False,9.57470568,11,1,0,True,True,False,True,False,False,True,True,True,True,False,True,17.10995632,152.490739,1833.0967,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False
19,35172,33.84469,-86.6974,3177,3,23,19494.75,True,10.92246098,10,1,0,False,True,False,True,True,False,False,False,False,True,False,True,12.80615845,149.944668,1954.080809,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
21,43215,39.96636,-83.01286,14440,3,30,45714.47,False,6.984819996,18,1,0,False,False,True,True,False,True,False,True,False,False,False,False,2.415991977,127.495766,594.1054279,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
22,50562,42.96153,-94.64179,381,3,52,27442.03,False,9.372975594,16,1,1,False,False,False,True,False,False,False,False,True,False,False,True,6.652298992,124.964303,713.0633088,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
23,4694,45.10333,-67.47223,2193,2,68,79699.62,False,7.109002592,9,0,0,False,True,False,True,False,False,False,False,True,True,False,True,8.543717478,149.948316,945.3802928,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
24,45176,39.08339,-84.02314,9434,3,75,28520.32,True,13.74777955,15,1,0,False,False,True,True,True,True,False,True,False,False,True,False,5.770390256,162.511928,870.76398,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
