,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Churn
0,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,3.212519,139.9349,897.8110864,True
1,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True,8.079294,245.132,1403.556394,True
2,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,3.83138,162.5007,538.9921729,False
3,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,8.040278,182.49,1058.595152,True
4,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,67.12744,137.4686,5717.831853,False
5,False,False,True,False,True,True,True,True,False,True,False,False,True,False,False,True,15.85002222,232.637807,2401.406545,True
6,True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,67.71773,159.983,5852.594859,False
7,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,True,3.954689282,162.493654,636.8514545,True
8,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,49.99506,124.9607,4636.850137,False
9,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,67.57266,159.9794,6280.164053,False
10,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,True,11.29271486,164.985293,1882.951404,True
11,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,50.61987,147.4738,4429.146624,False
12,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,15.87685513,139.979239,1708.614019,False
13,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False,8.681614,245.1457,1501.794265,False
14,True,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,2.050742411,149.991327,655.3814577,True
15,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,8.093081,129.9483,1340.469295,True
16,False,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,64.81359,220.1149,6246.864694,True
17,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,4.83659,120.0049,980.2047172,False
18,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,1.84841935,150.020764,529.9370637,False
19,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,58.69465,117.472,5147.718209,False
20,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,True,68.03515,187.4673,6540.915805,False
21,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,16.0708543,157.483594,1575.683555,False
22,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,14.86158,159.9512,1439.925812,False
23,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,6.249599,182.4608,1114.196033,False
24,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,5.548652108,127.488728,774.6125757,False
25,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,22.12945,147.4783,2047.373281,False
26,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,24.69325,92.45514,2693.549899,True
27,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,2.108441505,184.979684,1029.123182,True
28,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,67.6047,232.6415,6160.398795,False
29,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,53.01595,129.9621,5102.051113,False
30,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,11.19078648,104.964303,1370.012453,True
31,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,True,65.12124,174.9755,5858.190319,False
32,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,7.53282,149.9378,1403.833391,False
33,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,60.09896,162.4689,5280.797475,False
34,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,60.15609,149.9598,5368.229398,False
35,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,10.88054,235.1591,1480.104233,True
36,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,4.812563,172.4885,1003.080929,True
37,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,7.773669,124.9781,888.4950848,False
38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,62.39739,117.472,5404.784064,False
39,False,True,True,False,True,True,True,False,True,False,False,True,False,False,True,True,68.03309,222.6792,6349.320467,False
