,Tenure,MonthlyCharge,Churn,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Bandwidth_GB_Year
0,66.00877,252.6378,False,False,False,True,True,False,False,True,False,6121.363135
1,1.506136,159.9349,False,False,True,True,False,False,False,True,False,460.5286853
2,51.11345,157.4698,False,False,False,False,False,False,False,True,False,4271.0951
3,1.760409672,242.657291,True,False,True,True,True,False,False,False,True,871.1409059
4,71.66261,207.6094,False,False,False,True,True,False,False,True,False,6427.653862
5,59.71663,147.4738,False,False,True,False,False,False,False,True,False,4970.688189
6,7.138798,129.9621,True,False,False,True,False,True,True,False,False,1497.624239
7,8.69085131,255.155493,False,True,False,True,True,True,False,True,False,1420.771651
8,18.44164,137.4392,False,False,False,True,False,False,False,True,False,1760.029684
9,62.12094,200.1185,False,False,False,True,True,False,True,False,False,5951.449014
10,60.99804,235.1591,False,True,False,True,True,False,False,True,False,5876.124132
11,60.16962,139.9816,False,False,True,True,False,False,False,False,True,5626.09355
12,14.1842,142.4526,False,True,True,True,False,False,True,False,False,2066.602785
13,10.22422,255.1336,True,False,True,True,True,False,True,False,False,2017.913692
14,2.598489694,124.97808,False,False,False,False,False,False,False,True,False,573.751474
15,9.339307484,144.960655,False,False,False,False,False,True,False,True,False,941.291001
16,20.21413,152.466,False,True,False,True,False,False,False,True,False,1932.932484
17,70.30088,137.4392,False,False,False,True,False,False,False,True,False,6060.997249
18,4.576705489,149.970715,False,False,True,False,True,False,False,False,True,703.2651223
19,62.46678,162.447,False,False,True,False,True,False,True,False,False,6021.120111
20,7.677648117,175.133074,True,False,False,True,True,False,False,False,True,1166.469107
21,68.01745,112.4551,False,False,False,False,False,False,False,True,False,5727.757032
22,11.69113,149.9378,False,False,True,False,True,True,True,False,False,1722.330381
23,68.75872,112.4551,False,False,False,False,False,False,False,True,False,5695.648337
24,69.02601,149.9621,False,False,False,True,False,False,False,True,False,6000.793836
25,61.2541,242.6106,True,False,True,True,True,False,True,False,False,6191.579895
26,53.54212,137.4698,False,False,False,False,False,False,True,False,False,4974.114415
27,39.72823,112.4844,False,False,False,False,False,False,False,False,True,3347.326138
28,61.04037,207.4811,False,True,True,True,False,True,False,True,False,5695.95181
29,52.61686,194.9882,False,True,False,False,True,False,False,True,False,4745.32751
30,20.04140358,129.962093,False,False,False,True,False,False,True,False,False,2256.776479
31,1.665089598,129.976324,True,True,True,True,False,False,False,False,True,418.3354904
32,60.72645,187.6094,False,False,False,True,True,False,True,False,False,5849.257593
33,5.449246,120.0035,False,True,False,True,False,False,False,False,True,1034.133433
34,57.71425,114.9976,False,False,True,False,False,False,False,False,True,5030.841405
35,58.52876,184.967,False,False,True,True,False,False,False,True,False,5045.986552
36,18.29391747,172.47417,False,False,False,False,True,False,False,True,False,1714.188033
37,47.96609,184.9634,False,False,True,True,False,True,True,False,False,5012.14381
38,62.77262,114.9976,False,False,True,False,False,True,False,False,True,5334.884836
39,43.80971,164.967,False,False,True,True,False,False,True,False,False,4463.694644
40,3.437502,157.4698,False,False,False,False,False,False,False,True,False,419.4107069
41,67.31311,107.5286,False,True,False,False,False,False,False,False,True,5646.557605
42,10.56737,265.1283,True,True,True,True,True,False,False,True,False,1524.959035
43,3.990895779,134.950905,False,False,True,False,False,False,False,True,False,598.4998978
44,66.2177,204.9634,False,False,True,True,False,False,False,True,False,5974.963224
45,48.27562,139.9349,False,False,True,True,False,False,True,False,False,4797.290998
46,2.644504,204.9634,False,False,True,True,False,False,False,True,False,655.8888087
47,4.241019424,172.440432,True,False,True,True,False,False,True,False,False,1001.860025
48,3.761516,242.6281,True,False,True,True,True,False,False,True,False,924.9657013
49,7.232429,207.4754,True,False,True,False,True,False,True,False,False,1575.575608
50,15.15905,159.965,False,False,False,False,True,False,False,True,False,1654.594685
51,37.8337,197.4702,False,True,True,False,True,False,True,False,False,3903.674979
52,1.763317472,127.460067,True,False,True,False,False,False,True,False,False,746.9528584
53,4.380312,232.6228,True,True,True,True,True,False,False,True,False,1046.538825
54,1.253929,172.4742,False,False,False,False,True,True,False,True,False,322.5237064
55,6.086525665,139.99789,False,False,False,False,True,False,False,False,True,840.1259162
56,68.1253,117.5015,False,True,True,False,False,False,False,False,True,5636.386434
57,7.097053,124.9643,False,False,False,False,False,False,False,True,False,506.014128
58,48.03223,182.4433,False,False,True,False,True,True,True,False,False,4896.176201
59,66.85047,149.9621,False,False,False,True,False,False,False,True,False,5791.466648
60,11.7516,147.4783,False,True,False,False,False,True,False,True,False,1026.949787
61,54.47785,129.9621,False,False,False,True,False,True,True,False,False,5171.93181
62,61.91437,147.4421,False,False,False,False,True,False,False,True,False,5392.876359
63,12.95969924,245.145743,True,True,True,True,True,False,False,True,False,1896.10656
64,61.51143,127.4601,False,False,True,False,False,False,True,False,False,5614.673422
65,14.28414317,220.132293,False,False,False,True,True,False,False,True,False,1662.516242
66,3.765838,137.4686,False,True,True,False,False,False,False,True,False,494.8412692
67,68.08474,104.9781,False,False,False,False,False,False,True,False,False,6349.768903
68,1.650984,247.6647,True,True,False,True,True,True,True,False,False,1328.483312
69,56.36817,182.4538,False,False,False,True,False,False,False,True,False,4968.873698
70,53.60305,217.4702,False,True,True,False,True,False,False,True,False,4863.296508
71,5.389466,142.4526,False,True,True,True,False,True,True,False,False,1322.429941
72,9.112126,139.9979,True,False,False,False,True,False,False,False,True,1068.365286
73,71.61196,119.9568,False,True,False,True,False,True,True,False,False,6676.117614
74,63.59872,117.472,False,False,False,True,False,False,False,False,True,5644.627475
75,23.49138,200.1323,False,False,False,True,True,True,True,False,False,3174.219068
76,56.92191,162.4689,False,True,False,False,True,False,False,True,False,4780.816747
77,60.57969,159.983,False,False,True,False,False,False,False,True,False,5228.606985
78,55.27092,139.9979,False,False,False,False,True,False,False,False,True,4957.435146
79,8.894523,212.6415,True,False,False,True,True,False,True,False,False,1717.407155
80,6.126946607,242.610632,True,False,True,True,True,False,True,False,False,1614.1637
81,69.22974,240.1149,False,False,False,True,True,False,False,True,False,6260.19195
82,4.192662,204.9634,True,False,True,True,False,False,False,True,False,700.7755614
83,3.305552,127.525,False,True,False,False,False,False,False,False,True,702.3872964
84,6.960522,162.4676,True,False,False,True,False,False,True,False,False,1466.444336
85,1.722680046,142.515576,True,True,False,False,True,False,False,False,True,457.8089454
86,57.94661,117.4858,False,False,False,True,False,False,False,False,True,4992.327344
87,69.97238,245.147,False,False,False,True,True,False,True,False,False,6854.114445
88,10.65198,232.624,True,False,False,True,True,False,True,False,False,1855.20004
89,2.54348,137.4836,True,False,False,False,False,False,True,False,False,933.5522742
90,10.45843,197.4945,True,True,False,True,False,False,False,True,False,1240.211719
91,9.38517,255.1555,False,True,False,True,True,True,False,True,False,1461.269401
92,64.38615,127.4421,False,False,False,False,True,True,True,False,False,5980.119936
93,2.988653862,152.495236,True,True,False,True,False,False,False,False,True,571.3635369
94,61.4943,242.6281,False,False,True,True,True,True,False,True,False,5774.455432
95,53.90815,104.9643,False,False,False,False,False,True,True,False,False,4996.04596
96,2.865504,187.6094,True,False,False,True,True,False,True,False,False,1123.372604
97,71.12356,139.9678,False,False,True,True,False,True,False,False,True,6239.882195
98,70.95714,162.4538,False,False,False,True,False,True,True,False,False,6557.961131
99,9.44860885,217.470195,False,True,True,False,True,False,False,True,False,1243.779967
100,13.67733,152.4798,False,True,False,True,False,False,False,True,False,1427.811261
101,71.45086,134.9801,False,False,True,False,False,False,False,False,True,5917.693418
102,58.40629,182.447,False,False,True,False,True,False,False,True,False,5179.837965
103,3.543665,149.9447,True,False,False,True,False,False,True,False,False,1121.849069
104,16.11472911,92.455141,False,False,False,False,False,True,True,False,False,2156.405261
105,4.24454,107.4958,False,True,False,False,False,False,True,False,False,912.2540105
106,6.311363,169.9378,False,False,True,False,True,True,False,True,False,874.5896088
107,3.896108,179.9794,False,False,True,False,False,False,False,True,False,729.6672295
108,42.19555,162.447,False,False,True,False,True,False,True,False,False,4434.823362
109,56.53633,114.9838,False,False,True,False,False,False,False,False,True,4814.158709
110,10.04672315,114.983787,False,False,True,False,False,False,False,False,True,980.9935923
111,5.522376826,174.975543,False,True,True,True,False,True,False,True,False,737.8564608
112,62.67099,169.9378,False,False,True,False,True,False,False,True,False,5341.756379
113,48.87162,152.4884,False,True,True,False,True,True,False,False,True,4648.662738
114,47.47601,277.6513,False,True,True,True,True,False,False,True,False,4693.458553
115,63.56661,172.5104,False,True,False,False,False,False,False,True,False,5556.021088
116,8.268405,152.4884,False,True,True,False,True,True,False,False,True,1039.380833
117,8.098851806,162.493654,False,False,True,False,True,False,False,False,True,1152.968935
118,59.6293,187.656,False,False,False,True,True,False,False,False,True,5541.635777
119,10.54165852,200.132293,True,False,False,True,True,False,True,False,False,1773.915003
120,54.28874,204.9634,False,False,True,True,False,False,False,True,False,4903.899257
121,41.3275,287.6427,False,False,True,True,True,False,False,True,False,4147.013836
122,55.44991,207.4811,False,True,True,True,False,False,False,True,False,5052.572623
123,4.071312509,192.470522,True,False,False,False,True,False,False,True,False,693.1317301
124,52.69603,142.4827,False,True,False,False,True,False,True,False,False,5169.811527
125,57.49209,129.9778,False,True,True,False,False,False,True,False,False,5646.886372
126,4.148103,124.9781,False,False,False,False,False,True,False,True,False,296.0266799
