,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,34,155,640,1304,1305,310,65,255,0,0,0,0,0,0,0,0,0
1,1201,84,6,91,1202,304,1203,1204,183,161,1205,0,0,0,0,0,0
2,4,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,157,299,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,398,227,227,369,448,11,399,4,12,0,0,0,0,0,0,0,0
6,37,366,4,172,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,472,5,74,33,88,35,16,106,756,18,168,473,0,0,0,0,0
9,34,307,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,207,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28,843,844,845,846,0,0,0,0,0,0,0,0,0,0,0,0
12,82,364,1239,406,243,48,620,10,85,42,296,125,0,0,0,0,0
13,402,32,261,4,73,0,0,0,0,0,0,0,0,0,0,0,0
14,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,56,127,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,250,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,2,27,89,98,294,91,1342,564,103,629,0,0,0,0,0,0
18,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1542,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1142,396,352,24,111,119,1,0,0,0,0,0,0,0,0,0,0
21,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,68,67,59,62,115,0,0,0,0,0,0,0,0,0,0,0,0
23,9,72,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,108,606,30,13,12,0,0,0,0,0,0,0,0,0,0,0,0
25,27,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,34,121,379,886,0,0,0,0,0,0,0,0,0,0,0,0,0
31,20,214,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,85,1552,1,1553,3,28,281,0,0,0,0,0,0,0,0,0
33,28,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,77,1,788,789,275,0,0,0,0,0,0,0,0,0,0,0,0
35,219,36,47,270,0,0,0,0,0,0,0,0,0,0,0,0,0
36,21,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,614,24,1551,75,195,656,0,0,0,0,0,0,0,0,0,0,0
38,282,178,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,630,309,15,3,1247,3,98,311,522,175,0,0,0,0,0,0,0
42,3,213,1458,53,243,12,1459,1460,414,496,395,0,0,0,0,0,0
43,346,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,25,23,727,143,47,33,728,106,0,0,0,0,0,0,0,0,0
45,67,112,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0
46,102,23,984,93,400,179,0,0,0,0,0,0,0,0,0,0,0
47,267,166,71,3,339,89,0,0,0,0,0,0,0,0,0,0,0
48,2,52,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,242,54,1333,7,1334,396,198,0,0,0,0,0,0,0,0,0,0
50,287,1134,1135,17,207,41,0,0,0,0,0,0,0,0,0,0,0
51,1,3,442,3,36,0,0,0,0,0,0,0,0,0,0,0,0
52,45,222,5,71,293,256,1,1111,77,29,1112,188,117,1113,0,0,0
53,359,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,485,31,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0
55,276,26,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6,455,1281,1282,19,391,106,47,531,29,618,324,0,0,0,0,0
57,271,33,1339,30,1340,428,295,5,1341,0,0,0,0,0,0,0,0
58,626,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1313,146,20,1314,0,0,0,0,0,0,0,0,0,0,0,0
60,141,1180,80,1181,617,0,0,0,0,0,0,0,0,0,0,0,0
61,1475,96,630,172,0,0,0,0,0,0,0,0,0,0,0,0,0
62,61,677,678,679,192,435,680,315,681,10,7,0,0,0,0,0,0
63,299,66,1,71,11,0,0,0,0,0,0,0,0,0,0,0,0
64,80,584,1056,116,1057,1058,0,0,0,0,0,0,0,0,0,0,0
65,37,167,3,1457,0,0,0,0,0,0,0,0,0,0,0,0,0
66,78,3,412,239,0,0,0,0,0,0,0,0,0,0,0,0,0
67,609,346,60,39,0,0,0,0,0,0,0,0,0,0,0,0,0
68,47,5,88,15,3,474,223,0,0,0,0,0,0,0,0,0,0
69,1500,1501,76,131,0,0,0,0,0,0,0,0,0,0,0,0,0
70,169,51,648,1383,8,1384,1385,90,649,124,650,0,0,0,0,0,0
71,149,2,214,53,35,27,307,379,1222,1223,117,151,245,0,0,0,0
72,2,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5,138,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,14,15,539,1416,0,0,0,0,0,0,0,0,0,0,0,0,0
75,308,1,74,33,227,106,403,345,424,248,12,0,0,0,0,0,0
76,21,130,208,217,0,0,0,0,0,0,0,0,0,0,0,0,0
77,101,7,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,102,23,11,16,252,436,1,0,0,0,0,0,0,0,0,0,0
79,144,64,116,183,11,1022,17,23,184,0,0,0,0,0,0,0,0
80,1349,587,588,27,48,1350,645,0,0,0,0,0,0,0,0,0,0
81,125,155,409,335,4,73,0,0,0,0,0,0,0,0,0,0,0
82,227,93,917,124,7,390,3,290,0,0,0,0,0,0,0,0,0
83,590,86,6,71,123,0,0,0,0,0,0,0,0,0,0,0,0
84,964,555,7,556,557,558,0,0,0,0,0,0,0,0,0,0,0
85,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,671,78,20,189,79,20,248,80,0,0,0,0,0,0,0,0,0
87,2,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,58,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,67,1,43,87,0,0,0,0,0,0,0,0,0,0,0,0,0
92,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1379,494,1380,3,1381,0,0,0,0,0,0,0,0,0,0,0,0
94,1085,1,218,544,1086,596,0,0,0,0,0,0,0,0,0,0,0
95,104,452,264,1162,581,244,38,601,241,274,1163,233,0,0,0,0,0
96,2,3,36,340,33,4,5,26,180,174,19,280,0,0,0,0,0
97,120,171,1087,241,75,79,353,19,597,164,0,0,0,0,0,0,0
98,56,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,33,7,163,79,0,0,0,0,0,0,0,0,0,0,0,0,0
100,21,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,338,1538,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,25,94,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1234,312,1235,422,1236,10,1237,625,142,29,0,0,0,0,0,0,0
104,102,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,439,1,87,100,28,196,1,0,0,0,0,0,0,0,0,0,0
106,58,59,5,8,113,22,0,0,0,0,0,0,0,0,0,0,0
107,41,164,14,414,0,0,0,0,0,0,0,0,0,0,0,0,0
108,15,2,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0
109,99,6,60,39,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3,158,7,69,19,77,397,0,0,0,0,0,0,0,0,0,0
112,24,20,42,52,238,1,0,0,0,0,0,0,0,0,0,0,0
113,1094,115,57,136,5,22,0,0,0,0,0,0,0,0,0,0,0
114,125,134,201,147,66,1,108,11,40,11,124,30,13,273,0,0,0
115,3,532,20,7,377,3,25,873,0,0,0,0,0,0,0,0,0
116,122,387,1166,1167,185,1168,96,1169,185,560,0,0,0,0,0,0,0
117,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,58,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,42,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,17,110,69,1444,64,112,31,380,16,115,0,0,0,0,0,0,0
123,114,419,42,197,0,0,0,0,0,0,0,0,0,0,0,0,0
124,506,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,26,296,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,40,57,1267,3,1268,3,0,0,0,0,0,0,0,0,0,0,0
127,93,695,83,118,440,441,118,1,0,0,0,0,0,0,0,0,0
128,112,31,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0
129,437,317,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,62,15,126,185,572,0,0,0,0,0,0,0,0,0,0,0,0
131,35,185,176,23,1170,6,0,0,0,0,0,0,0,0,0,0,0
132,47,368,90,33,84,2,505,0,0,0,0,0,0,0,0,0,0
133,52,99,482,315,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,587,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,103,1,453,729,454,83,455,0,0,0,0,0,0,0,0,0,0
138,231,57,3,3,1445,0,0,0,0,0,0,0,0,0,0,0,0
139,3,101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,418,55,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,82,19,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1186,232,1187,27,122,18,1188,618,0,0,0,0,0,0,0,0,0
143,676,100,433,39,0,0,0,0,0,0,0,0,0,0,0,0,0
144,94,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,17,102,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,3,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,102,23,1017,163,1018,1,0,0,0,0,0,0,0,0,0,0,0
149,1559,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1027,1,18,36,259,0,0,0,0,0,0,0,0,0,0,0,0
151,27,294,182,45,408,0,0,0,0,0,0,0,0,0,0,0,0
152,40,1,16,996,62,0,0,0,0,0,0,0,0,0,0,0,0
153,1348,242,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,626,146,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,5,8,268,50,50,1423,145,98,652,312,93,142,83,0,0,0,0
157,102,23,65,317,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1469,318,205,198,264,0,0,0,0,0,0,0,0,0,0,0,0
159,36,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
160,24,4,603,470,306,0,0,0,0,0,0,0,0,0,0,0,0
161,266,7,51,2,10,5,80,5,277,1456,0,0,0,0,0,0,0
162,141,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,167,206,12,166,209,599,105,3,5,89,206,220,532,600,0,0,0
164,67,112,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,104,291,1,4,12,653,5,52,222,1431,654,189,1432,0,0,0,0
166,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,158,5,8,70,7,182,158,0,0,0,0,0,0,0,0,0,0
168,138,8,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,510,211,45,70,511,1,38,18,218,816,1,3,254,15,0,0,0
171,605,3,11,170,1106,1107,1108,3,1109,101,1110,0,0,0,0,0,0
172,13,746,345,470,11,13,0,0,0,0,0,0,0,0,0,0,0
173,302,589,263,171,590,29,300,224,121,1,1065,1066,0,0,0,0,0
174,40,55,258,159,401,133,0,0,0,0,0,0,0,0,0,0,0
175,77,44,32,46,97,32,3,616,135,78,192,1171,0,0,0,0,0
176,79,713,714,715,41,9,0,0,0,0,0,0,0,0,0,0,0
177,6,456,224,109,1450,13,427,0,0,0,0,0,0,0,0,0,0
178,1,20,50,100,667,0,0,0,0,0,0,0,0,0,0,0,0
179,394,144,1541,57,38,0,0,0,0,0,0,0,0,0,0,0,0
180,61,51,256,704,257,1,0,0,0,0,0,0,0,0,0,0,0
181,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,215,7,3,776,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1449,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,27,29,1534,194,0,0,0,0,0,0,0,0,0,0,0,0,0
185,258,596,155,1509,440,1,137,0,0,0,0,0,0,0,0,0,0
186,103,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,207,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2,217,1411,502,233,1412,402,199,14,1413,1414,233,1415,410,0,0,0
190,5,187,4,73,643,1324,310,44,644,427,0,0,0,0,0,0,0
191,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,35,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,691,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,35,27,294,103,0,0,0,0,0,0,0,0,0,0,0,0,0
196,897,78,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
197,144,66,1,79,301,1016,44,0,0,0,0,0,0,0,0,0,0
198,114,1535,3,1536,19,1,1537,18,660,1,24,0,0,0,0,0,0
199,4,2,905,906,1,389,907,908,327,909,90,0,0,0,0,0,0
200,9,321,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,366,41,20,1355,647,1,0,0,0,0,0,0,0,0,0,0,0
202,1433,365,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,41,6,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,309,196,1404,243,612,41,237,1,117,216,1405,1406,0,0,0,0,0
205,50,498,165,10,42,0,0,0,0,0,0,0,0,0,0,0,0
206,197,919,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,34,7,108,45,7,2,52,5,13,76,49,30,0,0,0,0,0
208,53,20,212,75,148,0,0,0,0,0,0,0,0,0,0,0,0
209,398,225,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,9,72,63,69,75,70,910,177,0,0,0,0,0,0,0,0,0
211,213,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,18,140,513,514,188,1,0,0,0,0,0,0,0,0,0,0,0
